Freq, i_avg, r_avg, i_qf_avg, r_qf_avg, i_i_avg, r_i_avg, i_q_avg, r_q_avg
[ANTENNA_MEASUREMENT_VALUE_0]
2447.000, 108, 135, 253, 255,  -18,  -15,   10,   -2
2448.000, 222,   1, 252, 252,   13,   15,  -15,    0
2449.000,  80, 129, 252, 251,   -7,  -16,   17,    0
2450.000, 196, 255, 253, 251,    2,   16,  -17,    0
2451.000,  59, 126, 253, 255,    2,  -15,   16,    1
2452.000, 175, 250, 253, 251,   -6,   13,  -14,   -2
2453.000,  39, 116, 251, 250,    8,  -13,   12,    4
2454.000, 158, 238, 253, 252,  -11,   11,  -10,   -5
2455.000,  21, 102, 254, 255,   14,   -9,    8,    7
2456.000, 138, 224, 252, 250,  -17,    8,   -4,   -8
2457.000, 254,  91, 251, 254,   18,   -8,   -1,   10
2458.000, 114, 217, 251, 254,  -16,    8,    6,  -11
2459.000, 232,  87, 252, 250,   14,   -8,  -10,   12
2460.000,  94, 212, 252, 251,  -11,    6,   13,  -12
2461.000, 214,  78, 254, 252,    9,   -5,  -15,   13
2462.000,  75, 201, 253, 250,   -5,    3,   19,  -14
2463.000, 191,  65, 252, 252,   -1,    0,  -22,   15
2464.000,  47, 189, 252, 252,   10,   -1,   22,  -16
2465.000, 160,  57, 254, 253,  -17,    3,  -18,   18
2466.000,  16, 183, 254, 253,   24,   -4,   10,  -19
2467.000, 129,  55, 252, 251,  -26,    5,   -1,   20
2468.000, 242, 182, 253, 251,   24,   -5,   -8,  -20
2469.000, 103,  55, 254, 254,  -20,    4,   14,   21
2470.000, 220, 182, 252, 252,   14,   -5,  -18,  -20
2471.000,  82,  54, 253, 253,  -10,    5,   20,   19
2472.000, 200, 178, 253, 253,    4,   -6,  -23,  -18
2473.000,  61,  43, 252, 250,    2,    9,   24,   17
2474.000, 177, 168, 252, 253,   -9,  -11,  -24,  -16
2475.000,  37,  35, 251, 252,   17,   13,   21,   15
2476.000, 152, 160, 254, 252,  -25,  -15,  -16,  -15
2477.000,   7,  28, 253, 253,   32,   18,    6,   14
2478.000, 119, 153, 251, 251,  -32,  -20,    7,  -14
2479.000, 232,  26, 252, 250,   28,   22,  -18,   16

[ANTENNA_MEASUREMENT_VALUE_3]
2400.000,  92, 241, 253, 254,  -18,   18,   23,   -7
2401.000, 205, 108, 250, 251,    9,  -16,  -27,    8
2402.000,  63, 233, 255, 253,    0,   15,   26,   -9
2403.000, 183, 101, 253, 252,   -5,  -13,  -23,   10
2404.000,  46, 227, 252, 252,   10,   12,   22,  -10
2405.000, 164,  92, 254, 251,  -17,   -9,  -21,   11
2406.000,  24, 213, 253, 253,   24,    7,   16,  -13
2407.000, 137,  80, 253, 251,  -29,   -6,   -7,   15
2408.000, 252, 207, 254, 253,   31,    6,   -3,  -16
2409.000, 109,  79, 254, 253,  -28,   -6,   14,   17
2410.000, 221, 208, 251, 252,   19,    7,  -23,  -17
2411.000,  78,  81, 254, 252,   -9,   -8,   24,   17
2412.000, 192, 212, 253, 255,    0,    8,  -22,  -16
2413.000,  56,  84, 252, 251,    4,   -7,   17,   14
2414.000, 179, 209, 252, 252,   -5,    6,  -15,  -12
2415.000,  46,  75, 252, 252,    7,   -3,   14,   10
2416.000, 164, 190, 253, 250,  -11,    0,  -13,  -10
2417.000,  27,  54, 252, 253,   14,    2,   11,    9
2418.000, 141, 173, 250, 250,  -17,   -5,   -6,   -9
2419.000,   7,  41, 251, 250,   18,    6,    3,    9
2420.000, 127, 164, 249, 250,  -20,   -7,    0,   -8
2421.000, 244,  31, 252, 253,   21,    8,   -7,    7
2422.000, 103, 152, 254, 251,  -18,  -10,   13,   -6
2423.000, 219,  21, 251, 254,   14,   12,  -18,    7
2424.000,  81, 149, 252, 252,   -9,  -12,   20,   -7
2425.000, 202,  18, 254, 248,    5,   12,  -23,    6
2426.000,  60, 140, 254, 252,    3,  -12,   26,   -4
2427.000, 175,   4, 253, 253,  -11,   14,  -25,    1
2428.000,  31, 130, 253, 254,   20,  -15,   19,   -1
2429.000, 145, 255, 254, 253,  -25,   16,  -11,    0
2430.000,   2, 126, 251, 252,   27,  -17,    1,    1
2431.000, 119, 252, 254, 253,  -23,   16,    5,   -1
2432.000, 241, 124, 252, 253,   21,  -16,   -8,    1
2433.000, 108, 249, 252, 252,  -20,   14,   11,   -3
2434.000, 228, 114, 254, 251,   20,  -12,  -16,    5
2435.000,  90, 232, 252, 250,  -16,   11,   22,   -8
2436.000, 209,  98, 253, 253,   12,  -11,  -28,   10
2437.000,  70, 221, 252, 253,   -5,   11,   35,  -13
2438.000, 185,  88, 254, 254,   -7,  -10,  -40,   15
2439.000,  42, 211, 251, 250,   24,    9,   39,  -19
2440.000, 154,  81, 252, 253,  -41,  -10,  -30,   22
2441.000,   7, 206, 248, 251,   53,    9,    9,  -25
2442.000, 118,  79, 252, 254,  -54,  -10,   13,   28
2443.000, 232, 208, 252, 252,   47,   12,  -31,  -29
2444.000,  91,  82, 255, 253,  -34,  -14,   43,   30
2445.000, 204, 212, 250, 252,   15,   16,  -51,  -29
2446.000,  63,  86, 251, 252,    0,  -17,   51,   28
2447.000, 179, 213, 254, 253,  -15,   15,  -47,  -27
2448.000,  39,  84, 252, 252,   27,  -14,   39,   27
2449.000, 156, 209, 252, 253,  -37,   12,  -30,  -27
2450.000,  16,  78, 253, 253,   46,   -9,   18,   27
2451.000, 131, 203, 253, 252,  -50,    7,   -4,  -27
2452.000, 247,  70, 251, 255,   51,   -4,  -12,   29
2453.000, 105, 194, 253, 251,  -45,    1,   29,  -30
2454.000, 217,  62, 251, 252,   32,    2,  -46,   31
2455.000,  75, 188, 253, 251,  -15,   -3,   55,  -32
2456.000, 190,  61, 248, 252,   -3,    2,  -57,   33
2457.000,  50, 189, 255, 252,   19,   -2,   54,  -33
2458.000, 166,  60, 255, 251,  -34,    3,  -46,   33
2459.000,  24, 187, 252, 252,   48,   -4,   32,  -33
2460.000, 137,  57, 254, 251,  -55,    6,  -13,   33
2461.000, 251, 184, 250, 253,   55,   -7,   -7,  -33
2462.000, 109,  55, 251, 251,  -47,    7,   24,   33
2463.000, 226, 181, 252, 253,   38,   -8,  -34,  -31
2464.000,  85,  52, 254, 249,  -26,    9,   45,   29
2465.000, 201, 175, 250, 251,   11,  -12,  -51,  -28
2466.000,  58,  42, 253, 254,    8,   16,   53,   26
2467.000, 173, 168, 253, 252,  -24,  -17,  -48,  -25
2468.000,  33,  37, 253, 255,   38,   19,   40,   25
2469.000, 146, 165, 251, 255,  -50,  -19,  -23,  -25
2470.000,   8,  37, 254, 253,   53,   20,   10,   25
2471.000, 118, 166, 252, 251,  -50,  -19,   13,  -26
2472.000, 233,  37, 253, 251,   41,   19,  -26,   25
2473.000,  93, 165, 251, 253,  -31,  -19,   35,  -24
2474.000, 210,  34, 252, 250,   19,   19,  -41,   21
2475.000,  70, 159, 251, 254,   -7,  -20,   46,  -19
2476.000, 182,  28, 249, 252,  -10,   21,  -44,   17
2477.000,  43, 153, 252, 254,   22,  -23,   38,  -15
2478.000, 156,  23, 253, 253,  -33,   23,  -28,   15
2479.000,  17, 149, 253, 254,   40,  -22,   17,  -13

[PMU_VALUES_END]

[AGCTGT_INITIATOR]
[ 1 1 1 1 ]
[AGCTGT_INITIATOR_END]
[AGCTGT_REFLECTOR]
[ 1 1 1 1 ]
[AGCTGT_REFLECTOR_END]
[OVERDRIVING_INITIATOR]
[ 0 0 0 0 ]
[OVERDRIVING_INITIATOR_END]
[OVERDRIVING_REFLECTOR]
[ 0 0 0 0 ]
[OVERDRIVING_REFLECTOR_END]
FIRMWARE VERSION: 1979
